TimeStamp,HeartRate,BreathRate
1603556807,73.81,5.41
1603556837,73.81,18.63
1603556867,73.81,17.36
1603556897,73.81,15.77
1603556927,73.81,15.77
1603556957,73.81,15.77
1603556987,73.81,15.77
1603557017,73.81,15.77
1603557047,81.93,20.02
1603557077,84.52,22.76
1603557107,84.48,18.12
1603557137,72.09,20.22
1603557167,85.61,20.13
1603557197,82.39,20.13
1603557227,68.42,20.13
1603557257,71.58,20.13
1603557287,94.44,20.41
1603557317,92.65,20.13
1603557347,89.41,20.6
1603557377,88.37,20.33
1603557407,80.62,20.24
1603557437,95.34,17.77
1603557467,87.16,17.77
1603557497,83.55,17.77
1603557527,96.35,19.94
1603557557,92.99,19.06
1603557587,91.65,15.58
1603557617,87.54,18.07
1603557647,73.02,16.89
1603557677,84.34,18.44
1603557707,95.44,19.37
1603557737,85.06,19.37
1603557767,99.04,17.89
1603557797,80.67,19.23
1603557827,89.12,20.46
1603557857,83.96,19.17
1603557887,86.93,18.53
1603557917,81.28,17.52
1603557947,84.19,18.56
1603557977,88.22,18.56
1603558007,87.8,19.08
1603558037,92.27,18.77
1603558067,93.56,19.26
1603558097,95.97,19.04
1603558127,94.32,18.9
1603558157,98.32,10.73
1603558187,83.38,20.22
1603558217,84.49,17.65
1603558247,91.5,20.5
1603558277,47.67,15.02
1603558307,95.82,18.59
1603558337,88.07,19.38
1603558367,90.81,18.25
1603558397,79.06,17.8
1603558427,84.74,19.76
1603558457,89.68,18.84
1603558487,85.75,19.27
1603558517,85.16,17.79
1603558547,85.03,19.96
1603558577,79.01,19.87
1603558607,83.81,18.93
1603558637,89.27,18.03
1603558667,73.73,18.2
1603558697,90.08,16.32
1603558727,84.24,16.24
1603558757,77.73,19.13
1603558787,81.82,20.13
1603558817,86.07,19.23
1603558847,83.62,20.41
1603558877,78.39,20.0
1603558907,87.65,21.47
1603558937,82.74,19.53
1603558967,87.14,19.66
1603558997,81.86,20.62
1603559027,81.66,17.06
1603559057,70.51,18.01
1603559087,84.03,19.8
1603559117,91.53,16.88
1603559147,88.93,19.71
1603559177,91.51,19.71
1603559207,86.8,18.84
1603559237,84.9,19.05
1603559267,83.77,19.21
1603559297,81.52,18.43
1603559327,81.22,20.78
1603559357,85.74,19.11
1603559387,73.37,18.7
1603559417,83.44,20.22
1603559447,88.08,19.94
1603559477,89.32,20.05
1603559507,85.49,19.69
1603559537,81.29,18.54
1603559567,80.38,16.97
1603559597,81.1,18.9
1603559627,94.24,18.59
1603559657,90.82,19.23
1603559687,88.18,18.31
1603559717,91.29,19.87
1603559747,78.77,16.3
1603559777,79.12,18.29
1603559807,70.35,17.56
1603559837,78.73,18.12
1603559867,87.54,19.07
1603559897,77.26,19.24
1603559927,81.14,20.16
1603559957,85.34,19.47
1603559987,92.6,15.63
1603560017,69.59,23.29
1603560047,81.7,18.25
1603560077,77.67,19.54
1603560107,82.33,14.73
1603560137,77.99,20.78
1603560167,82.0,16.57
1603560197,87.75,21.65
1603560227,81.15,18.93
1603560257,87.93,16.87
1603560287,84.89,19.13
1603560317,83.71,18.81
1603560347,87.9,19.13
1603560377,72.0,20.24
1603560407,83.1,18.83
1603560437,92.09,17.48
1603560467,78.44,18.23
1603560497,86.03,16.72
1603560527,93.95,18.59
1603560557,66.1,19.05
1603560587,81.63,19.06
1603560617,91.98,18.23
1603560647,79.38,18.18
1603560677,70.05,20.26
1603560707,81.16,17.3
1603560737,74.02,17.24
1603560767,61.3,17.61
1603560797,79.23,18.9
1603560827,78.42,20.44
1603560857,76.94,17.92
1603561127,83.54,20.79
1603561157,83.54,19.42
1603561187,83.54,20.0
1603561217,83.54,16.09
1603561247,88.56,18.12
1603561277,89.74,18.12
1603561307,93.14,18.12
1603561337,93.5,18.12
1603561367,79.88,18.87
1603561397,79.88,12.05
1603561427,93.5,18.23
1603561457,82.15,16.01
1603561487,64.45,19.66
1603561517,73.31,18.02
1603561547,85.03,14.88
1603561577,64.07,14.88
1603561607,85.44,17.08
1603561637,78.51,17.88
1603561667,98.65,17.18
1603561697,91.94,16.41
1603561727,81.29,19.26
1603561757,82.66,19.14
1603561787,84.38,19.58
1603561817,86.97,18.47
1603561847,87.35,19.0
1603561877,90.69,17.38
1603561907,95.82,15.88
1603561937,88.26,18.87
1603561967,92.16,12.49
1603561997,62.95,16.93
1603562027,88.29,16.52
1603562057,81.26,16.52
1603562087,81.26,17.89
1603562117,89.75,16.92
1603562147,86.32,18.8
1603562177,87.2,18.84
1603562207,85.79,18.96
1603562237,89.97,20.35
1603562267,88.86,21.25
1603562297,86.06,19.78
1603562327,87.85,17.69
1603562357,75.75,20.12
1603562387,88.37,16.69
1603562417,85.92,15.43
1603562447,93.8,17.31
1603562477,93.8,12.63
1603562507,88.28,20.62
1603562537,79.15,20.62
1603562567,79.15,14.54
1603562597,65.31,11.84
1603562627,96.33,17.99
1603562657,88.65,23.77
1603562687,80.95,15.67
1603562717,81.95,18.75
1603562747,90.03,13.51
1603562777,91.36,15.68
1603562807,97.09,16.15
1603562837,95.34,23.77
1603562867,92.39,20.63
1603562897,86.3,18.66
1603562927,95.26,17.1
1603562957,85.27,15.46
1603562987,90.39,15.4
1603563017,77.8,15.4
1603563047,92.23,21.69
1603563077,83.52,17.75
1603563107,82.5,16.22
1603563137,86.57,18.43
1603563167,82.11,18.43
1603563197,83.98,15.64
1603563227,91.7,18.4
1603563257,91.7,18.55
1603563287,94.71,17.18
1603563317,88.79,19.18
1603563347,95.21,19.33
1603563377,81.52,13.56
1603563407,84.09,13.22
1603563437,84.09,13.22
1603563467,84.09,13.22
1603563497,84.09,13.22
1603563527,84.09,20.22
1603563557,79.97,7.66
1603563587,88.47,19.21
1603563617,92.41,19.58
1603563647,97.58,17.36
1603563677,91.3,16.98
1603563707,87.92,15.27
1603563737,82.53,15.27
1603563767,88.43,17.6
1603563797,96.88,12.32
1603563827,91.09,24.71
1603563857,91.8,16.93
1603563887,78.42,16.04
1603563917,78.42,16.83
1603563947,85.74,17.05
1603563977,95.18,17.05
1603564007,93.77,18.03
1603564037,90.88,19.26
1603564067,95.12,17.77
1603564097,62.48,21.4
1603564127,62.48,11.86
1603564157,89.2,11.86
1603564187,92.39,11.86
1603564217,93.44,11.86
1603564247,68.86,19.13
1603564277,78.55,17.54
1603564307,106.86,13.05
1603564337,90.5,20.05
1603564367,90.22,14.46
1603564397,81.8,16.19
1603564427,96.23,18.07
1603564457,82.36,18.07
1603564487,72.32,17.18
1603564517,87.85,9.93
1603564547,93.55,14.93
1603564577,81.69,16.09
1603564607,81.34,17.62
1603564637,83.69,21.75
1603564667,71.75,15.12
1603564697,80.44,17.16
1603564727,86.35,13.97
1603564757,72.23,22.56
1603564787,58.21,7.0
1603564817,70.01,15.4
1603564847,86.82,17.04
1603564877,78.03,20.46
1603564907,92.53,16.54
1603564937,89.56,13.36
1603564967,87.0,10.94
1603564997,78.26,18.2
1603565027,90.59,17.52
1603565057,84.67,15.63
1603565087,96.31,17.3
1603565117,96.33,17.3
1603565147,92.04,17.3
1603565177,92.04,17.3
1603565207,92.04,17.33
1603565237,91.02,6.64
1603565267,92.08,6.64
1603565297,87.67,6.64
1603565327,87.67,6.64
1603565357,87.67,6.64
1603565387,87.67,6.64
1603565417,87.67,6.64
1603565687,88.19,17.15
1603565717,79.57,18.34
1603565747,85.1,20.0
1603565777,86.43,17.8
1603565807,84.75,17.8
1603565837,81.68,17.8
1603565867,75.33,17.8
1603565897,90.94,17.8
1603565927,73.26,17.58
1603565957,87.53,16.34
1603565987,78.25,18.33
1603566017,93.2,17.67
1603566047,84.68,17.9
1603566077,79.1,20.99
1603566107,79.1,17.19
1603566137,83.24,17.19
1603566167,86.13,18.11
1603566197,78.51,17.89
1603566227,85.99,15.64
1603566257,88.58,18.99
1603566287,77.53,15.31
1603566317,77.53,16.68
1603566347,78.11,17.66
1603566377,83.75,17.66
1603566407,77.37,11.62
1603566437,80.34,16.27
1603566467,82.7,16.85
1603566497,85.9,16.15
1603566527,82.86,17.61
1603566557,54.59,18.23
1603566587,97.82,17.42
1603566617,74.25,17.22
1603566647,82.86,16.36
1603566677,76.61,15.94
1603566707,81.03,16.93
1603566737,93.82,16.79
1603566767,89.75,16.79
1603566797,90.01,16.79
1603566827,74.26,16.79
1603566857,74.26,16.79
1603566887,74.26,15.45
1603566917,80.07,15.32
1603566947,97.45,18.66
1603566977,86.07,16.97
1603567007,106.57,18.7
1603567037,79.8,18.7
1603567067,86.2,18.7
1603567097,90.09,18.7
1603567367,94.28,17.77
1603567397,90.41,17.57
1603567427,91.22,16.75
1603567457,91.16,24.47
1603567487,94.45,17.46
1603567517,82.67,17.46
1603567547,79.53,17.46
1603567577,79.51,17.46
1603567607,92.73,17.54
1603567637,92.02,16.37
1603567667,99.11,16.82
1603567697,88.15,25.51
1603567727,84.03,17.05
1603567757,85.49,17.2
1603567787,103.14,15.09
1603567817,94.75,17.46
1603567847,85.87,9.9
1603567877,79.81,17.69
1603567907,84.57,17.09
1603567937,90.32,14.7
1603567967,78.41,20.49
1603567997,78.41,18.3
1603568027,78.41,18.3
1603568057,93.36,18.3
1603568087,84.03,18.29
1603568117,79.15,17.03
1603568147,85.37,18.09
1603568177,76.34,16.93
1603568207,99.02,16.61
1603568237,91.08,11.61
1603568267,88.76,17.18
1603568297,97.43,17.18
1603568327,93.2,15.97
1603568357,84.13,15.2
1603568387,88.87,16.48
1603568417,84.71,15.74
1603568447,84.71,17.36
1603568477,86.19,17.48
1603568507,90.63,16.84
1603568537,75.91,16.84
1603568567,89.85,16.84
1603568597,80.31,16.63
1603568627,88.77,16.14
1603568657,91.68,15.59
1603568687,86.0,15.11
1603568717,84.02,15.63
1603568747,87.17,15.62
1603568777,89.37,15.62
1603568807,68.86,15.83
1603568837,74.67,15.47
1603568867,84.87,15.14
1603568897,94.41,15.32
1603568927,87.3,15.86
1603568957,87.43,16.82
1603568987,84.67,16.03
1603569017,86.82,15.38
1603569047,91.18,16.16
1603569077,81.51,15.61
1603569107,87.11,15.17
1603569137,83.64,14.85
1603569167,88.64,15.65
1603569197,89.84,16.57
1603569227,79.62,16.3
1603569257,90.04,16.3
1603569287,85.64,15.62
1603569317,83.03,15.08
1603569347,81.14,15.24
1603569377,98.4,16.29
1603569407,80.41,17.69
1603569437,86.13,17.32
1603569467,94.16,15.85
1603569497,99.09,15.85
1603569527,71.25,15.64
1603569557,73.38,15.68
1603569587,84.42,15.95
1603569617,97.76,16.16
1603569647,83.38,16.15
1603569677,85.76,15.72
1603569707,86.65,14.79
1603569737,86.43,14.79
1603569767,94.07,15.02
1603569797,97.06,15.53
1603569827,92.55,15.02
1603569857,88.92,14.82
1603569887,97.32,15.18
1603569917,91.13,14.62
1603569947,76.24,17.3
1603569977,73.65,17.4
1603570007,80.86,16.52
1603570037,81.32,16.05
1603570067,86.9,15.64
1603570097,93.25,15.14
1603570127,80.26,15.79
1603570157,82.46,15.23
1603570187,82.65,15.56
1603570217,87.05,15.23
1603570247,78.87,14.99
1603570277,83.77,15.4
1603570307,82.29,16.18
1603570337,75.0,16.55
1603570367,84.55,15.79
1603570397,96.47,15.51
1603570427,82.16,15.83
1603570457,77.74,15.9
1603570487,85.91,16.37
1603570517,86.66,14.9
1603570547,89.94,15.75
1603570577,82.74,16.88
1603570607,73.01,15.66
1603570637,67.37,17.79
1603570667,91.65,17.79
1603570697,85.86,17.79
1603570727,85.86,17.3
1603570757,75.47,17.26
1603570787,105.6,16.39
1603570817,91.78,16.39
1603570847,80.45,16.39
1603570877,71.0,16.39
1603570907,80.71,16.39
1603570937,70.9,16.39
1603570967,70.34,18.07
1603570997,75.54,18.98
1603571027,68.61,18.06
1603571057,92.57,16.36
1603571087,90.54,16.93
1603571117,98.49,16.51
1603571147,67.66,16.51
1603571177,68.25,16.51
1603571207,71.35,16.28
1603571237,68.85,15.87
1603571267,69.68,16.36
1603571297,71.12,15.99
1603571327,69.61,15.43
1603571357,70.92,15.61
1603571387,70.88,16.25
1603571417,69.33,15.5
1603571447,71.43,15.1
1603571477,69.95,14.68
1603571507,69.42,14.87
1603571537,70.09,14.9
1603571567,71.88,15.5
1603571597,69.07,14.87
1603571627,68.88,15.48
1603571657,70.95,15.9
1603571687,69.34,15.85
1603571717,71.38,15.46
1603571747,73.43,15.85
1603571777,72.09,15.39
1603571807,72.69,15.06
1603571837,72.84,15.38
1603571867,81.88,14.87
1603571897,85.48,14.87
1603571927,76.29,15.41
1603571957,71.3,16.83
1603571987,72.61,16.09
1603572017,71.75,16.18
1603572047,71.75,16.18
1603572077,71.75,16.18
1603572107,67.98,16.18
1603572137,69.33,16.18
1603572167,63.17,16.87
1603572197,70.62,17.01
1603572227,70.07,15.77
1603572257,69.72,15.68
1603572287,52.89,15.35
1603572317,33.79,16.25
1603572347,71.73,16.25
1603572377,69.88,16.25
1603572407,71.57,16.59
1603572437,69.96,16.06
1603572467,69.84,16.41
1603572497,72.64,16.23
1603572527,71.85,16.09
1603572557,68.2,16.67
1603572587,72.11,15.56
1603572617,72.19,15.87
1603572647,71.37,16.34
1603572677,71.55,15.45
1603572707,74.15,15.53
1603572737,70.63,15.66
1603572767,73.38,15.58
1603572797,71.44,16.46
1603572827,72.58,15.33
1603572857,73.24,15.14
1603572887,70.86,15.16
1603572917,73.32,16.54
1603572947,72.24,15.81
1603572977,72.27,15.6
1603573007,73.36,15.9
1603573037,71.47,16.43
1603573067,71.45,16.36
1603573097,72.52,15.99
1603573127,70.15,16.04
1603573157,73.06,15.92
1603573187,72.02,16.06
1603573217,71.6,15.27
1603573247,71.49,15.14
1603573277,71.37,15.54
1603573307,69.08,15.58
1603573337,67.55,18.15
1603573367,69.95,16.79
1603573397,72.11,16.17
1603573427,67.42,15.66
1603573457,66.89,16.15
1603573487,70.35,16.25
1603573517,69.68,16.25
1603573547,70.94,16.25
1603573577,70.57,16.25
1603573607,67.01,15.82
1603573637,69.74,16.5
1603573667,66.12,15.62
1603573697,63.33,16.72
1603573727,63.97,16.07
1603573757,76.46,16.07
1603573787,83.58,16.07
1603573817,76.04,16.07
1603573847,64.57,16.27
1603573877,68.19,15.68
1603573907,69.82,15.29
1603573937,68.66,15.11
1603573967,72.35,15.64
1603573997,69.81,15.35
1603574027,69.96,16.76
1603574057,73.17,16.76
1603574087,82.94,15.98
1603574117,91.19,16.43
1603574147,97.87,17.17
1603574177,91.21,16.16
1603574207,102.03,15.62
1603574237,95.92,15.58
1603574267,92.28,15.7
1603574297,91.6,15.44
1603574327,68.36,15.66
1603574357,68.83,15.89
1603574387,66.9,16.57
1603574417,69.16,14.68
1603574447,70.11,15.84
1603574477,69.32,15.69
1603574507,69.06,15.32
1603574537,68.82,15.75
1603574567,67.19,16.43
1603574597,67.19,15.94
1603574627,67.19,15.14
1603574657,75.27,15.09
1603574687,86.71,15.09
1603574717,90.42,15.09
1603574747,84.73,15.09
1603574777,71.26,15.09
1603574807,99.1,15.43
1603574837,87.7,16.88
1603574867,87.61,17.48
1603574897,87.51,17.06
1603574927,85.48,16.78
1603574957,81.61,15.68
1603574987,79.8,15.9
1603575017,88.2,15.9
1603575047,71.97,15.21
1603575077,71.75,14.91
1603575107,68.15,15.24
1603575137,71.45,15.89
1603575167,70.74,15.73
1603575197,65.6,14.66
1603575227,67.93,15.28
1603575257,68.18,15.14
1603575287,70.68,15.52
1603575317,70.25,15.38
1603575347,71.32,15.13
1603575377,71.86,15.92
1603575407,72.29,16.15
1603575437,67.78,16.08
1603575467,71.02,15.08
1603575497,67.6,15.98
1603575527,68.17,16.66
1603575557,71.29,15.87
1603575587,70.6,15.17
